campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget_uzs,target_audience,objective,status
23,Face-to-face analyzing knowledgebase 2023,LinkedIn,Traffic,2024-01-20,2024-03-20,24426303.48,45-54,Leads,Completed
24,Quality-focused reciprocal migration 2023,Telegram,Traffic,2025-01-07,2025-01-26,94894797.49,35-44,Leads,Paused
25,Face-to-face clear-thinking knowledge user 2021,Telegram,Conversion,2024-03-03,2024-07-15,39455505.16,55+,Leads,Cancelled
26,Customer-focused tangible definition 2020,Twitter,Traffic,2024-12-28,,83492628.18,35-44,Brand Awareness,Active
27,Exclusive homogeneous interface 2024,YouTube,Awareness,2023-11-21,2024-03-19,63525366.56,55+,App Downloads,Completed
28,Customizable full-range functionalities 2020,,Engagement,2024-12-08,2025-01-03,29437155.3,25-34,App Downloads,Completed
29,Team-oriented dynamic customer loyalty 2025,YouTube,Engagement,2023-12-13,,19435092.59,18-24,Sales,Completed
30,Polarized tangible flexibility 2020,Twitter,Traffic,2024-10-28,2025-04-13,36284294.05,35-44,Sales,Completed
31,Digitized foreground definition 2020,Instagram,Conversion,2025-04-27,2025-06-24,61787058.63,25-34,Sales,Paused
32,Sharable coherent forecast 2020,Instagram,Traffic,2024-06-16,,61962602.32,55+,Leads,Completed
33,Organic fault-tolerant system engine 2023,Google Ads,Traffic,2025-07-20,2025-12-20,41627889.03,45-54,Brand Awareness,Completed
34,Up-sized intermediate model 2024,LinkedIn,Engagement,2024-04-15,2024-08-24,82656130.1,55+,Leads,Completed
35,Robust value-added algorithm 2024,Instagram,Awareness,2025-06-17,2025-10-20,11387860.46,18-24,Brand Awareness,Cancelled
36,Visionary solution-oriented emulation 2025,Twitter,Engagement,2025-10-31,2025-11-09,24938748.55,35-44,Sales,Completed
37,Function-based composite matrix 2021,Twitter,Awareness,2024-09-12,2025-01-07,4764995.44,18-24,Leads,Paused
38,Mandatory logistical intranet 2020,YouTube,Awareness,2024-11-09,2025-04-13,32758942.01,35-44,App Downloads,Completed
39,Inverse heuristic groupware 2023,Instagram,Awareness,2024-01-23,2024-02-14,2971746.07,35-44,Brand Awareness,Paused
40,Total local Graphic Interface 2024,SMS,Engagement,2025-07-14,2025-08-21,93996023.12,45-54,Brand Awareness,Paused
41,Front-line maximized contingency 2022,Facebook Ads,Conversion,2024-06-18,2024-10-09,33730157.14,55+,App Downloads,Completed
42,Front-line optimizing frame 2020,Twitter,Conversion,2025-10-04,2026-02-01,43030603.43,45-54,Leads,Completed
43,De-engineered zero tolerance collaboration 2024,Email,Engagement,2024-02-21,2024-03-25,96946401.9,35-44,Brand Awareness,Active
44,Fundamental modular info-mediaries 2024,LinkedIn,Engagement,2025-11-05,2026-04-30,79894470.03,45-54,App Downloads,Paused
45,User-friendly multimedia hierarchy 2020,Facebook Ads,Conversion,2024-01-25,2024-04-30,86010856.4,35-44,Leads,Completed
46,Integrated motivating system engine 2024,YouTube,Awareness,2024-01-19,2024-07-06,25733171.9,35-44,Brand Awareness,Completed
47,Business-focused homogeneous orchestration 2025,,Conversion,2025-02-14,,71413987.39,25-34,Sales,Completed
48,Quality-focused secondary benchmark 2025,Google Ads,Conversion,2025-03-18,,80109650.97,35-44,Brand Awareness,Active
49,Polarized asynchronous forecast 2023,Facebook Ads,Conversion,2025-03-12,,30634484.33,55+,Leads,Completed
50,Organized tangible array 2025,Instagram,Traffic,2024-10-26,2025-04-23,36586896.5,18-24,App Downloads,Completed
51,Multi-channeled 24hour artificial intelligence 2020,LinkedIn,Engagement,2024-07-09,2024-09-23,7058408.66,25-34,App Downloads,Completed
52,Cross-group next generation Graphic Interface 2025,Telegram,Traffic,2023-11-27,2024-04-30,2920035.16,25-34,Leads,Paused
53,Expanded fresh-thinking capability 2022,Twitter,Engagement,2024-10-15,2024-10-25,38757452.93,35-44,Leads,Completed
54,Sharable tangible artificial intelligence 2023,Twitter,Engagement,2025-08-25,2025-10-29,63314974.19,35-44,Leads,Completed
55,Seamless didactic encryption 2020,Instagram,Engagement,2025-05-30,2025-07-07,38349420.79,18-24,Brand Awareness,Cancelled
56,Customizable bandwidth-monitored framework 2021,YouTube,Awareness,2024-01-02,2024-03-30,91423446.06,18-24,Sales,Completed
57,Fundamental even-keeled infrastructure 2020,Google Ads,Awareness,2025-06-11,2025-11-10,43251909.55,35-44,Sales,Cancelled
58,Pre-emptive object-oriented installation 2021,Email,Awareness,2025-03-10,2025-05-14,33347895.28,45-54,App Downloads,Paused
59,Multi-layered optimizing support 2025,SMS,Traffic,2024-09-29,2024-10-29,44098298.76,35-44,Leads,Paused
60,Ameliorated multi-state collaboration 2022,LinkedIn,Awareness,2023-12-04,2024-05-24,61504151.26,18-24,Leads,Active
61,Visionary bifurcated archive 2022,LinkedIn,Conversion,2024-01-06,2024-06-13,51700059.9,18-24,Brand Awareness,Cancelled
62,Decentralized 3rdgeneration product 2021,TikTok,Awareness,2025-10-18,2026-02-05,33149628.94,45-54,App Downloads,Active
63,Focused modular task-force 2024,LinkedIn,Awareness,2024-05-05,2024-10-29,28949334.5,45-54,Brand Awareness,Active
64,Customer-focused hybrid array 2022,YouTube,Traffic,2023-11-18,2024-04-08,84931186.39,45-54,Sales,Completed
65,Streamlined bifurcated Internet solution 2022,SMS,Conversion,2025-03-22,2025-07-25,95230651.76,55+,Sales,Cancelled
66,User-centric stable benchmark 2021,Twitter,Engagement,2025-06-25,,57258839.91,18-24,Leads,Completed
67,Multi-channeled tangible paradigm 2023,YouTube,Engagement,2024-08-10,2024-09-24,15900181.44,55+,App Downloads,Completed
68,Quality-focused 3rdgeneration intranet 2020,Twitter,Traffic,2023-12-01,2023-12-31,18412088.16,35-44,Brand Awareness,Completed
69,Centralized 3rdgeneration interface 2023,Facebook Ads,Engagement,2024-05-13,2024-08-17,8150478.89,18-24,Sales,Paused
70,Assimilated heuristic knowledge user 2025,Telegram,Conversion,2023-12-04,2023-12-15,66696867.33,35-44,App Downloads,Cancelled
71,Innovative zero tolerance flexibility 2021,Instagram,Conversion,2024-01-09,2024-06-19,61481644.7,45-54,Leads,Completed
72,User-centric didactic moratorium 2022,Instagram,Engagement,2024-09-10,2024-11-19,80871777.44,55+,Leads,Completed
73,Re-contextualized local forecast 2023,Telegram,Engagement,2024-11-07,,31644753.14,45-54,Brand Awareness,Completed
74,Customer-focused leadingedge interface 2025,Facebook Ads,Engagement,2024-10-26,2024-12-22,93218819.53,25-34,App Downloads,Completed
75,Synchronized radical success 2020,Telegram,Traffic,2024-05-17,2024-07-07,3420034.25,18-24,Sales,Completed
76,Customer-focused foreground Graphic Interface 2025,Facebook Ads,Engagement,2024-01-29,2024-05-09,89389536.83,25-34,Leads,Completed
77,Versatile neutral matrices 2023,Email,Engagement,2025-06-01,2025-08-05,71718042.44,25-34,Brand Awareness,Completed
78,Vision-oriented impactful alliance 2021,Facebook Ads,Awareness,2025-02-14,2025-03-22,2064414.31,25-34,Leads,Paused
79,Down-sized explicit core 2022,Google Ads,Awareness,2025-07-30,2025-12-12,11791377.03,45-54,App Downloads,Completed
80,Distributed multi-state policy 2020,Email,Conversion,2025-09-13,2025-12-19,36883166.62,45-54,Sales,Completed
81,Future-proofed scalable encryption 2025,Google Ads,Engagement,2024-06-19,2024-11-01,91488737.52,35-44,App Downloads,Completed
82,Re-contextualized motivating conglomeration 2023,Twitter,Engagement,2024-06-22,2024-07-04,58691434.75,45-54,Sales,Active
83,Decentralized local synergy 2021,SMS,Conversion,2024-05-15,2024-09-29,87794086.01,35-44,Brand Awareness,Paused
84,Assimilated systemic website 2025,Instagram,Awareness,2024-05-23,2024-10-01,35359782.14,25-34,Leads,Paused
85,Re-engineered leadingedge middleware 2025,Facebook Ads,Awareness,2025-09-23,,15102726.55,35-44,Sales,Paused
86,Multi-tiered exuding moratorium 2022,Twitter,Conversion,2024-11-30,2025-01-02,83950367.15,55+,App Downloads,Completed
87,Versatile asymmetric hub 2022,Email,Awareness,2025-03-17,2025-06-29,15645693.65,18-24,Sales,Completed
88,Synchronized mission-critical parallelism 2020,Twitter,Awareness,2025-05-17,2025-06-16,62441044.31,18-24,Sales,Active
89,De-engineered mobile instruction set 2023,Email,Conversion,2024-07-22,2024-12-16,33163559.42,18-24,App Downloads,Paused
90,Object-based coherent product 2024,Twitter,Conversion,2025-01-18,2025-07-14,54927274.42,45-54,App Downloads,Active
91,Intuitive tangible paradigm 2022,Telegram,Conversion,2024-02-28,2024-08-14,40789890.04,45-54,Brand Awareness,Completed
92,Enterprise-wide secondary Graphical User Interface 2020,LinkedIn,Traffic,2025-04-24,,46202038.15,35-44,Sales,Completed
93,Triple-buffered scalable access 2024,Twitter,Engagement,2024-07-12,2024-10-11,54884287.85,35-44,Leads,Paused
94,Progressive cohesive encoding 2021,Telegram,Awareness,2024-09-19,2024-12-09,96895592.0,18-24,Leads,Completed
95,Managed discrete product 2020,YouTube,Traffic,2024-07-01,2024-12-23,2521219.08,18-24,Leads,Active
96,Configurable executive functionalities 2020,Facebook Ads,Conversion,2025-08-13,2025-12-21,42565900.72,25-34,Sales,Completed
97,Decentralized homogeneous analyzer 2020,Instagram,Conversion,2024-06-09,,28326119.58,18-24,Brand Awareness,Completed
98,Extended executive access 2022,Email,Traffic,2025-01-11,2025-02-24,68906092.91,45-54,Brand Awareness,Completed
99,User-centric object-oriented functionalities 2020,Telegram,Traffic,2023-12-04,,73668400.45,35-44,Brand Awareness,Active
100,Decentralized disintermediate service-desk 2021,Twitter,Conversion,2025-10-04,2026-01-15,84292545.09,55+,Brand Awareness,Active
101,Monitored attitude-oriented moderator 2023,Instagram,Traffic,2024-02-06,2024-06-17,80353085.85,35-44,Sales,Paused
102,Assimilated local attitude 2023,Email,Traffic,2024-07-06,2024-10-15,44534075.38,25-34,Brand Awareness,Paused
103,Secured intangible neural-net 2021,LinkedIn,Engagement,2025-03-05,2025-07-24,52640799.88,45-54,App Downloads,Completed
104,Optional fault-tolerant encoding 2023,Email,Engagement,2025-01-31,,1259096.45,35-44,Brand Awareness,Cancelled
105,Re-contextualized background system engine 2021,LinkedIn,Awareness,2024-04-10,2024-08-21,26275382.13,18-24,Leads,Paused
106,Implemented dedicated Internet solution 2023,LinkedIn,Traffic,2025-06-18,2025-10-25,82887368.59,18-24,App Downloads,Completed
107,User-centric upward-trending policy 2025,YouTube,Traffic,2025-08-26,2025-10-30,29384681.09,18-24,Sales,Active
108,Assimilated logistical encoding 2021,LinkedIn,Engagement,2024-12-20,,60844128.11,18-24,App Downloads,Active
109,Inverse composite matrices 2022,Google Ads,Traffic,2024-03-19,,29210168.94,35-44,Leads,Completed
110,Decentralized logistical utilization 2025,Twitter,Conversion,2024-09-08,,56612916.97,25-34,Brand Awareness,Paused
111,Realigned web-enabled productivity 2022,Facebook Ads,Awareness,2024-05-26,,45947497.69,35-44,Leads,Cancelled
112,Focused eco-centric info-mediaries 2020,YouTube,Conversion,2025-04-24,2025-07-19,85254462.04,35-44,Leads,Paused
113,Cross-platform global forecast 2024,Telegram,Conversion,2025-02-20,2025-06-28,58978704.11,55+,Sales,Active
114,Public-key well-modulated Local Area Network 2023,Twitter,Engagement,2024-11-15,2025-03-08,53645796.18,35-44,Brand Awareness,Completed
115,Re-contextualized cohesive software 2020,Instagram,Engagement,2024-12-18,2025-04-21,5242695.87,45-54,Sales,Completed
116,Assimilated non-volatile framework 2022,YouTube,Traffic,2025-03-25,2025-09-16,18926132.23,25-34,Brand Awareness,Paused
117,Multi-tiered didactic infrastructure 2022,Google Ads,Traffic,2024-11-10,2025-04-17,39530352.3,45-54,Sales,Completed
118,Distributed regional intranet 2020,Twitter,Engagement,2024-01-16,2024-02-06,21493746.66,18-24,Sales,Paused
119,Realigned empowering array 2022,Email,Engagement,2024-03-18,2024-08-18,93689919.79,25-34,App Downloads,Cancelled
120,Fundamental static matrix 2022,Twitter,Engagement,2024-11-21,2025-05-12,86698732.83,35-44,Brand Awareness,Active
121,Multi-layered 5thgeneration hardware 2021,Instagram,Traffic,2025-07-06,2025-09-03,94040295.31,55+,Brand Awareness,Completed
122,Innovative tangible artificial intelligence 2020,Telegram,Traffic,2024-05-22,2024-11-09,44250450.28,25-34,Brand Awareness,Completed
123,Switchable even-keeled support 2024,SMS,Conversion,2025-09-26,2026-01-28,68568513.78,35-44,Sales,Paused
124,Assimilated bottom-line data-warehouse 2023,Email,Awareness,2025-06-28,2025-10-09,85024650.09,25-34,Leads,Paused
125,Exclusive multi-state firmware 2024,Twitter,Engagement,2023-12-12,2024-01-21,14817347.03,18-24,Leads,Active
126,Proactive tangible adapter 2023,Email,Engagement,2025-06-22,2025-07-03,38750646.67,25-34,Brand Awareness,Completed
127,Grass-roots hybrid implementation 2022,Google Ads,Conversion,2023-12-05,,62720809.01,45-54,Leads,Completed
128,Organized empowering interface 2023,SMS,Traffic,2025-02-25,2025-08-12,53679520.27,25-34,Sales,Active
129,Centralized maximized instruction set 2020,YouTube,Conversion,2024-04-01,2024-06-06,64817614.72,25-34,Sales,Cancelled
130,Open-architected intermediate capability 2021,Google Ads,Awareness,2025-05-09,2025-09-05,39565116.16,45-54,Brand Awareness,Paused
131,Networked demand-driven conglomeration 2020,TikTok,Engagement,2024-04-28,2024-06-11,2531111.24,25-34,App Downloads,Completed
132,Multi-tiered well-modulated support 2025,YouTube,Conversion,2025-01-17,2025-05-10,85437922.47,35-44,App Downloads,Paused
133,Upgradable web-enabled superstructure 2025,Twitter,Awareness,2025-08-24,2025-10-11,63577614.46,45-54,Leads,Completed
134,User-centric transitional emulation 2023,YouTube,Traffic,2024-02-08,2024-06-23,96895993.36,45-54,Brand Awareness,Active
135,Balanced fault-tolerant implementation 2023,Twitter,Awareness,2024-04-24,2024-09-27,61590888.39,55+,App Downloads,Completed
136,Self-enabling even-keeled projection 2022,Email,Awareness,2025-06-01,2025-09-17,48606440.15,55+,Leads,Completed
137,Advanced encompassing leverage 2020,Instagram,Conversion,2023-11-18,2024-01-16,3894962.92,25-34,App Downloads,Completed
138,Reduced static data-warehouse 2022,SMS,Conversion,2024-06-28,2024-10-07,78451151.35,18-24,Brand Awareness,Active
139,Profit-focused 3rdgeneration middleware 2022,Email,Traffic,2025-04-12,2025-08-04,14244521.94,35-44,App Downloads,Completed
140,Profound homogeneous structure 2021,YouTube,Traffic,2024-06-19,2024-09-07,21402416.27,55+,Brand Awareness,Completed
141,User-friendly exuding challenge 2025,Google Ads,Engagement,2025-08-21,2026-01-27,93944621.32,35-44,Sales,Completed
142,Polarized intermediate budgetary management 2023,Instagram,Conversion,2025-04-20,2025-08-10,84936994.43,45-54,App Downloads,Completed
143,Synergistic clear-thinking matrix 2025,YouTube,Conversion,2024-05-18,2024-08-03,66898321.2,45-54,Leads,Completed
144,Versatile human-resource Internet solution 2024,LinkedIn,Traffic,2024-06-13,2024-11-11,36061343.01,18-24,Brand Awareness,Completed
145,Streamlined upward-trending success 2021,Telegram,Awareness,2025-01-09,2025-03-12,12146445.31,18-24,Sales,Completed
146,Re-engineered optimizing approach 2024,YouTube,Engagement,2023-11-11,2023-11-29,12734154.72,45-54,App Downloads,Completed
147,Proactive grid-enabled product 2024,Instagram,Awareness,2024-04-16,2024-08-02,20027307.73,35-44,Brand Awareness,Active
148,Intuitive attitude-oriented software 2021,Instagram,Awareness,2025-04-13,2025-07-28,25991637.49,45-54,Leads,Cancelled
149,Pre-emptive grid-enabled infrastructure 2024,Instagram,Awareness,2025-06-04,2025-09-10,91568224.91,55+,Brand Awareness,Active
150,Virtual uniform software 2022,SMS,Engagement,2025-07-15,2025-09-02,99897966.98,55+,App Downloads,Cancelled
151,Advanced bandwidth-monitored circuit 2021,Telegram,Traffic,2024-12-29,2025-04-28,1222762.39,35-44,App Downloads,Completed
152,Versatile background focus group 2020,Twitter,Awareness,2025-04-16,2025-07-30,66921074.29,45-54,Leads,Paused
153,Self-enabling tangible benchmark 2025,Telegram,Traffic,2025-08-05,2025-08-30,95239978.81,35-44,Brand Awareness,Cancelled
154,Re-contextualized dedicated frame 2021,LinkedIn,Engagement,2024-07-16,2024-09-20,37391132.7,18-24,Sales,Cancelled
155,Profound asymmetric policy 2025,Telegram,Engagement,2024-08-14,2024-12-28,5509314.49,55+,Leads,Completed
156,Ameliorated object-oriented website 2024,Telegram,Engagement,2024-09-27,,81766987.45,25-34,Leads,Paused
157,Reverse-engineered attitude-oriented moderator 2023,Email,Traffic,2024-10-11,2024-11-26,67583874.29,25-34,Brand Awareness,Paused
158,Secured disintermediate website 2021,YouTube,Conversion,2023-11-30,2024-05-16,3260751.35,18-24,Sales,Completed
159,Diverse actuating forecast 2025,Google Ads,Engagement,2024-06-19,2024-08-20,76726205.75,25-34,Brand Awareness,Active
160,Extended attitude-oriented instruction set 2025,SMS,Engagement,2025-07-20,2025-09-03,86655941.74,55+,Leads,Completed
161,Public-key scalable complexity 2023,Instagram,Conversion,2024-08-16,2024-12-23,46568764.97,25-34,Brand Awareness,Completed
162,Monitored even-keeled Local Area Network 2024,SMS,Engagement,2024-08-28,2024-12-31,97513078.07,55+,Leads,Active
163,Total impactful focus group 2024,YouTube,Conversion,2024-01-20,2024-04-17,54744137.66,18-24,Brand Awareness,Completed
164,Polarized heuristic analyzer 2021,TikTok,Conversion,2024-10-09,2025-03-10,49058493.1,18-24,Leads,Completed
165,Automated logistical parallelism 2023,LinkedIn,Engagement,2024-12-25,2025-04-28,75674468.11,35-44,Sales,Paused
166,Multi-layered 5thgeneration groupware 2023,LinkedIn,Conversion,2024-03-27,2024-05-22,27565772.12,35-44,Leads,Active
167,Diverse multi-state forecast 2022,YouTube,Conversion,2024-07-07,2024-10-14,95320671.0,25-34,App Downloads,Active
168,Reduced 4thgeneration customer loyalty 2023,Telegram,Traffic,2023-11-27,,36574452.09,25-34,Leads,Paused
169,Managed modular protocol 2024,Instagram,Traffic,2024-08-17,2024-11-30,62725390.46,25-34,App Downloads,Completed
170,Adaptive bifurcated portal 2022,Telegram,Awareness,2023-12-25,2024-04-02,52606067.19,35-44,Leads,Cancelled
171,Organic 24hour matrices 2023,Telegram,Conversion,2025-08-17,,78149642.78,55+,Leads,Paused
172,Ameliorated even-keeled parallelism 2025,Telegram,Traffic,2024-05-14,2024-08-05,62189098.12,55+,Leads,Paused
173,Synergistic demand-driven alliance 2022,TikTok,Traffic,2024-05-30,2024-11-20,58085022.06,55+,Leads,Completed
174,Horizontal static artificial intelligence 2022,Twitter,Traffic,2024-01-12,2024-02-06,49361030.23,18-24,Brand Awareness,Active
175,Inverse grid-enabled interface 2025,Twitter,Engagement,2025-03-26,2025-06-27,94628709.34,35-44,Sales,Paused
176,Reduced eco-centric Graphical User Interface 2024,Telegram,Awareness,2024-01-15,2024-06-07,61866597.79,18-24,App Downloads,Paused
177,De-engineered full-range superstructure 2024,Google Ads,Awareness,2025-08-31,2025-12-05,40913134.81,55+,App Downloads,Cancelled
178,Automated interactive encoding 2024,Email,Engagement,2025-08-08,,97750337.66,55+,App Downloads,Active
179,Virtual cohesive implementation 2021,SMS,Awareness,2025-09-18,2026-01-15,24420325.45,18-24,Leads,Completed
180,Cross-platform incremental application 2021,Google Ads,Traffic,2024-01-26,2024-06-28,90384865.62,18-24,Leads,Completed
181,Enterprise-wide empowering capability 2024,Google Ads,Engagement,2024-09-08,2024-12-28,10729570.88,55+,App Downloads,Completed
182,Upgradable holistic protocol 2024,YouTube,Awareness,2024-08-07,2024-09-04,17073878.43,25-34,App Downloads,Paused
183,Total client-driven hardware 2022,Telegram,Engagement,2025-03-10,2025-04-06,58963998.37,55+,Leads,Paused
184,Right-sized homogeneous open architecture 2025,Google Ads,Traffic,2024-09-04,2024-11-19,30565903.19,18-24,Brand Awareness,Active
185,Polarized fresh-thinking archive 2022,Telegram,Engagement,2024-11-12,,5762022.37,18-24,Sales,Active
186,Ameliorated 24hour algorithm 2024,Telegram,Awareness,2024-07-09,2024-08-05,16334810.63,45-54,Brand Awareness,Active
187,Focused bandwidth-monitored moratorium 2021,Email,Engagement,2024-01-21,2024-04-29,80766147.35,35-44,Brand Awareness,Active
188,Proactive eco-centric synergy 2023,SMS,Awareness,2025-03-22,2025-05-05,85602668.51,25-34,Brand Awareness,Completed
189,Persevering high-level methodology 2022,TikTok,Engagement,2025-05-01,2025-06-29,55798224.82,25-34,Sales,Cancelled
190,Business-focused attitude-oriented matrix 2020,TikTok,Engagement,2024-06-22,2024-10-17,12964969.93,45-54,App Downloads,Paused
191,Focused executive ability 2025,Twitter,Engagement,2025-09-23,2025-12-17,34561003.43,55+,App Downloads,Completed
192,Digitized national ability 2021,LinkedIn,Awareness,2025-08-25,2025-12-28,80345793.38,55+,Sales,Completed
193,Business-focused real-time protocol 2023,Telegram,Conversion,2024-11-06,2024-12-14,99033643.69,45-54,Brand Awareness,Completed
194,Digitized well-modulated flexibility 2023,SMS,Conversion,2024-06-20,2024-10-20,95126895.36,35-44,Brand Awareness,Completed
195,Virtual directional flexibility 2024,LinkedIn,Traffic,2025-03-21,2025-07-07,8789577.38,25-34,Sales,Paused
196,Digitized systemic open architecture 2022,SMS,Engagement,2025-09-24,,45682654.42,35-44,Sales,Active
197,Synchronized foreground synergy 2022,Twitter,Traffic,2024-07-08,2024-09-12,35105409.87,55+,Sales,Completed
198,Automated solution-oriented adapter 2022,YouTube,Traffic,2025-09-04,2025-09-25,45206516.62,25-34,Sales,Completed
199,Exclusive background artificial intelligence 2022,Email,Awareness,2025-09-03,2025-10-14,91651067.51,55+,Leads,Active
200,Polarized regional function 2021,SMS,Traffic,2025-08-14,2025-12-29,24190875.22,18-24,Leads,Completed
201,Realigned maximized software 2025,Telegram,Engagement,2024-07-01,2024-07-26,33211620.97,45-54,Brand Awareness,Completed
202,Reduced value-added success 2022,YouTube,Awareness,2023-11-25,2024-01-20,31795777.04,45-54,Brand Awareness,Active
203,Proactive neutral standardization 2023,Instagram,Traffic,2025-10-26,2026-03-03,10411807.99,55+,Brand Awareness,Completed
204,Public-key foreground utilization 2023,Instagram,Awareness,2024-07-21,2024-12-02,49983884.28,45-54,Leads,Completed
205,Up-sized secondary benchmark 2020,Facebook Ads,Conversion,2025-06-29,2025-09-17,21575161.42,35-44,Sales,Completed
206,Balanced tangible support 2024,Instagram,Traffic,2025-05-17,2025-10-24,13615986.64,25-34,App Downloads,Active
207,Function-based even-keeled access 2023,SMS,Traffic,2025-09-04,2025-10-14,62936428.05,18-24,Sales,Active
208,Up-sized well-modulated protocol 2022,SMS,Engagement,2024-03-23,2024-07-15,71909919.78,25-34,Sales,Completed
209,Horizontal user-facing open system 2025,Google Ads,Traffic,2024-10-04,2024-11-24,99803338.23,55+,Leads,Completed
210,Versatile fault-tolerant info-mediaries 2024,SMS,Awareness,2025-05-31,2025-09-20,36237106.15,18-24,Leads,Active
211,Fully-configurable bottom-line conglomeration 2021,TikTok,Engagement,2024-04-08,2024-09-17,93337675.75,45-54,Sales,Completed
212,Expanded attitude-oriented productivity 2022,LinkedIn,Awareness,2025-07-10,2025-11-03,89763899.01,45-54,Sales,Completed
213,Managed motivating flexibility 2024,Facebook Ads,Engagement,2024-03-13,,6124020.45,25-34,Brand Awareness,Active
214,Proactive next generation focus group 2021,LinkedIn,Awareness,2024-07-12,2024-12-21,16861620.01,35-44,Leads,Completed
215,Synchronized attitude-oriented project 2023,SMS,Traffic,2025-04-28,2025-06-22,84135615.7,55+,Sales,Completed
216,Configurable client-server hierarchy 2020,YouTube,Traffic,2024-01-11,2024-03-14,8188158.85,55+,App Downloads,Completed
217,Up-sized demand-driven moderator 2022,Telegram,Traffic,2024-12-03,2024-12-13,24784995.93,45-54,Sales,Cancelled
218,Multi-tiered optimizing service-desk 2020,LinkedIn,Traffic,2025-01-19,2025-03-02,41306521.07,55+,App Downloads,Active
219,Balanced content-based functionalities 2022,Twitter,Engagement,2025-01-05,,56601476.35,35-44,Brand Awareness,Completed
220,Synchronized grid-enabled success 2022,TikTok,Traffic,2024-06-16,2024-10-31,22030908.04,25-34,Sales,Paused
221,Synergized zero administration forecast 2025,Instagram,Traffic,2025-08-16,2025-10-19,15586341.12,25-34,Sales,Completed
222,Intuitive explicit alliance 2025,LinkedIn,Conversion,2025-07-23,2026-01-12,63091880.02,35-44,App Downloads,Completed
223,Ergonomic value-added system engine 2023,Email,Conversion,2024-11-12,2025-01-05,44810274.29,35-44,Brand Awareness,Completed
224,Enterprise-wide non-volatile capacity 2020,TikTok,Awareness,2025-06-29,2025-11-28,99690688.54,45-54,Leads,Completed
225,Fully-configurable analyzing instruction set 2025,LinkedIn,Engagement,2024-01-19,2024-02-13,41410807.06,25-34,App Downloads,Paused
226,Object-based system-worthy adapter 2024,Email,Awareness,2025-07-28,,78905491.56,45-54,Leads,Paused
227,Reverse-engineered solution-oriented system engine 2021,LinkedIn,Engagement,2024-11-18,2025-05-13,79602605.02,55+,Brand Awareness,Paused
228,Digitized needs-based contingency 2024,Twitter,Engagement,2023-12-15,2024-02-23,46742705.19,35-44,App Downloads,Completed
